method,problem_index,problem_id,pass_at_4,correct_candidates,majority_correct,parsed_candidates,truncated_candidates,mean_candidate_coverage,mean_direction_coverage,mean_effective_directions,official_raw_budget_violation_rounds
official_round,381,test/counting_and_probability/188.json,False,0,False,4,1,3.3333333333333335,2.0,1.0256264212900583,1
official_round,429,test/intermediate_algebra/1014.json,True,2,True,4,0,4.0,1.0,1.0007942289910385,0
official_round,477,test/number_theory/22.json,True,1,False,4,0,2.6666666666666665,2.3333333333333335,1.1408933180168994,1
largest_remainder,1,test/intermediate_algebra/1994.json,True,1,False,3,2,3.0,3.0,1.0522642645440545,0
largest_remainder,8,test/algebra/2036.json,True,4,True,4,0,3.3333333333333335,1.3333333333333333,1.0209653992409589,0
largest_remainder,15,test/precalculus/990.json,False,0,False,1,3,2.6666666666666665,1.6666666666666667,1.0419973133100282,0
largest_remainder,23,test/algebra/2193.json,True,3,True,4,0,4.0,1.0,1.006047582298801,0
largest_remainder,34,test/counting_and_probability/119.json,True,3,True,4,0,4.0,1.0,1.0101569576435085,0
largest_remainder,51,test/intermediate_algebra/1217.json,True,1,True,1,3,4.0,1.3333333333333333,1.015645735789601,0
largest_remainder,67,test/prealgebra/1233.json,True,3,True,4,0,3.3333333333333335,2.0,1.1140154200313919,0
largest_remainder,82,test/algebra/2700.json,False,0,False,3,2,3.0,2.3333333333333335,1.090813767199773,0
largest_remainder,99,test/precalculus/1300.json,True,4,True,4,0,3.0,1.0,1.0086926140276151,0
largest_remainder,118,test/intermediate_algebra/232.json,True,1,False,2,3,4.0,2.3333333333333335,1.0447039774836755,0
largest_remainder,143,test/precalculus/477.json,True,3,True,4,0,3.0,2.0,1.0397083523947768,0
largest_remainder,169,test/geometry/802.json,True,4,True,4,0,3.0,2.3333333333333335,1.0607228814754837,0
largest_remainder,197,test/number_theory/838.json,False,0,False,2,2,4.0,1.6666666666666667,1.0335470655438517,0
largest_remainder,228,test/precalculus/1056.json,True,1,True,1,3,2.0,1.3333333333333333,1.0191039919697154,0
largest_remainder,261,test/geometry/347.json,True,4,True,4,0,3.3333333333333335,3.0,1.1359614564461655,0
largest_remainder,297,test/number_theory/1172.json,True,2,True,4,0,3.0,2.6666666666666665,1.117803341521914,0
largest_remainder,336,test/algebra/2592.json,True,4,True,4,0,4.0,2.3333333333333335,1.0646930741314433,0
largest_remainder,381,test/counting_and_probability/188.json,False,0,False,4,1,3.6666666666666665,2.0,1.0257336703332738,0
largest_remainder,429,test/intermediate_algebra/1014.json,True,2,True,4,0,4.0,1.0,1.0007942289910385,0
largest_remainder,477,test/number_theory/22.json,True,1,False,4,0,3.0,3.0,1.1387618399983264,0
cumulative_deficit,1,test/intermediate_algebra/1994.json,True,1,False,4,1,3.3333333333333335,3.0,1.0537004408754733,0
cumulative_deficit,8,test/algebra/2036.json,True,4,True,4,0,3.3333333333333335,1.3333333333333333,1.0209653992409589,0
cumulative_deficit,15,test/precalculus/990.json,False,0,False,1,3,2.6666666666666665,1.6666666666666667,1.0419973133100282,0
cumulative_deficit,23,test/algebra/2193.json,True,3,True,4,0,4.0,1.0,1.006047582298801,0
cumulative_deficit,34,test/counting_and_probability/119.json,True,3,True,4,0,4.0,1.0,1.0101569576435085,0
cumulative_deficit,51,test/intermediate_algebra/1217.json,True,2,True,2,3,3.6666666666666665,1.3333333333333333,1.0122339826314186,0
cumulative_deficit,67,test/prealgebra/1233.json,True,3,True,4,0,3.6666666666666665,2.0,1.1190570771055108,0
cumulative_deficit,82,test/algebra/2700.json,False,0,False,3,2,3.0,2.3333333333333335,1.090813767199773,0
cumulative_deficit,99,test/precalculus/1300.json,True,4,True,4,0,3.0,1.0,1.0086926140276151,0
cumulative_deficit,118,test/intermediate_algebra/232.json,True,1,False,2,3,4.0,2.3333333333333335,1.0447039774836755,0
cumulative_deficit,143,test/precalculus/477.json,True,3,True,4,0,3.0,2.0,1.0378468612815623,0
cumulative_deficit,169,test/geometry/802.json,True,4,True,4,0,3.3333333333333335,2.3333333333333335,1.0593537933280361,0
cumulative_deficit,197,test/number_theory/838.json,False,0,False,2,2,4.0,1.6666666666666667,1.0335470655438517,0
cumulative_deficit,228,test/precalculus/1056.json,True,1,True,1,3,2.0,1.3333333333333333,1.0191039919697154,0
cumulative_deficit,261,test/geometry/347.json,True,4,True,4,0,3.3333333333333335,3.0,1.1367557209989076,0
cumulative_deficit,297,test/number_theory/1172.json,True,2,True,4,0,3.0,2.6666666666666665,1.117803341521914,0
cumulative_deficit,336,test/algebra/2592.json,True,4,True,4,0,3.6666666666666665,2.3333333333333335,1.0650870567664936,0
cumulative_deficit,381,test/counting_and_probability/188.json,False,0,False,4,1,3.6666666666666665,2.0,1.0257336703332738,0
cumulative_deficit,429,test/intermediate_algebra/1014.json,True,2,True,4,0,4.0,1.0,1.0007942289910385,0
cumulative_deficit,477,test/number_theory/22.json,True,1,False,4,0,3.0,3.0,1.1387618399983264,0
